Mkt_Title,Level,Start_Date,Length,Hours_Per_Week,Mode_Of_Attendance,Location,Home_Fee,Mkt_Level,Is_the_course_for_me,What_is_learnt,What_is_involved,Options_on_completion,What_do_I_need_to_get_on_the_course,How_long_is_the_course,How_much_will_the_course_cost,Code,Occurrence,Mnemonic,Subject_Area
NVQ2 Beauty Therapy,2,11-Sep-06,2 years,6,Part Time Day,East Ham Campus,244,Level 2,"If you want to pursue a career in the beauty industry and wish to study part time, then this is the course for you.","Reception, client care and team work; Health and Safety regulations and practice; Promoting products and services to clients; Facials, eye lash and brow treatments; Manicure and pedicure; Removal of hair by waxing.
This course develops your skills in pre","Your work will be assessed throughout the course by oral, written, and practical assignments and you will present a portfolio of your work for final assessment.  All practical assessments will be carried out on paying clients who may be family, friends or","You can progress onto NVQ Level 3 Beauty Therapy course, or work as a professional therapist in the industry. Or you may choose to continue on one of the many other part time beauty courses we offer.","You need to enjoy working with people, have 4 GCSE's grade E or above or NewCAD Level 1 in beauty or equivalent qualification, good communication skills and a good level of English. You will be invited to the college for an interview. This may include an ","The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time day for 6 hours per week. You will study at the East Ham Campus.",The course fee is £244 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £1220 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee rem,C5201889,06/07A,2D-NVQ-BEAUTGEN-2-Y2,Hairdressing and Beauty Therapy
Asian Bridal Make-Up,1,05-Jan-07,10 weeks,3,Part Time Day,East Ham Campus,75,Level 1,"If you want to learn about Asian Bridal Make-up techniques, then this is the course for you. ","Appropriate jewellery and make-up
Bridal clothes
Eyelash extensions
Long hairstyles
Henna painting","You will learn through lectures and demonstrations; modern classroom and salon teaching; theoretical assignments and practical sessions with fellow students and clients. You will have access to the College's library and study centre, the FLEX,  the comput","You will achieve a NewCAD certificate on successful completion of the course, and will be qualified to progress onto part-time specialist courses including Cosmetic Make-up, Manicure/ Pedicure or modular equivalent.  ","No formal qualifications are required, but a good standard of English is essential, as communication skills are a vital component of the course. You will be invited to an interview and may be asked to take an English language assessment if you have no for","The course starts on Friday 5 January 2007, and takes 10 weeks to complete studying part time day for 3 hours per week. You will study at the East Ham Campus.",The course fee is £75. If you are not eligible for the home student fee you will be charged the overseas fee of £375. This course is free to UK/EU residents who are unemployed and in receipt of benefits. This course can be undertaken as a stand alone cour,C1100947,06/07C,1D-NC-ASIABM-1-1C,Hairdressing and Beauty Therapy
Beauty Therapy,1,03-Jan-07,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 1,"If you want to pursue a career in the beauty industry and wish to study full-time,and require help improving your basic skills, then this is the course for you.",Ensure your own actions reduce risks to health and safety; Assist with salon reception duties; Prepare and maintain the beauty therapy work area; Assist with facial treatments; Assist with nail treatments on the hand; Numeracy; Communication and Informati,"You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto an NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of our many other part time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English.  You will be invited to college for an interview; this may include an assessment of your communication and numeric skills if you have no formal qualificatio","The course starts on Wednesday 3 January 2007, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1101376,06/07C,1S-NC-BTH-1-3C,Hairdressing and Beauty Therapy
Hairdressing,2,19-Feb-07,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 2,"If you wish to study full-time and require help improving your basic skills, and you have an interest in the beauty industry then this is the course for you.","Health and safety; Providing a make-up treatment; Providing a manicure treatment; Providing a pedicure treatment; Providing a facial treatment; Providing a lash and brow treatment; Customer care and Reception.
You will also study basic skills in communic","You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto a NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of the many other part-time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English. You will be invited to College for an interview. This may include an assessment of your communication and numeracy skills if you have no formal qualificatio","The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1203114,06/07D,1S-NC-HAIR-2-4D,Hairdressing and Beauty Therapy
NVQ2 Beauty Therapy,2,11-Sep-06,36 weeks,16.5,Full Time,East Ham Campus,967,Level 2,"If you want to pursue a career in the beauty industry and wish to study full time, then this is the course for you.","Reception, client care and team work; Health and Safety regulations and practice; Promoting products and services to clients; Facials, eye lash and brow treatments; Manicure and pedicure; Removal of hair by waxing; Key skills in communication, Numeracy an","All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commercial treatment rooms and salons. You will have access to the College's library and study centre, the FLEX and Learning Waves, ","You can progress onto NVQ Level 3 Beauty Therapy course, or work as a professional therapist in the industry. Or you may choose to continue on one of the many other part time beauty courses we offer. ","You need to enjoy working with people, have 4 GCSE's grade E or above or NewCAD Level 1 in beauty or equivalent qualification, good communication skills and a good level of English. You will be invited to the college for an interview. This may include an ","The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.",The course fee is £967. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C5202043,06/07A,1F-NVQ-BEAUTGEN-2,Hairdressing and Beauty Therapy
NVQ2 Beauty Therapy,2,11-Sep-06,2 years,6,Part Time Day,East Ham Campus,192,Level 2,"If you want to pursue a career in the beauty industry and wish to study part time, then this is the course for you.","Reception, client care and team work; Health and Safety regulations and practice; Promoting products and services to clients; Facials, eyelash and brow treatments; Manicure and pedicure; Removal of hair by waxing.
This course develops your skills in prep","Your work will be assessed throughout the course by oral, written, and practical assignments and you will present a portfolio of your work for final assessment.  All practical assessments will be carried out on paying clients who may be family, friends or","You can progress onto NVQ Level 3 Beauty Therapy course, or work as a professional therapist in the industry. Or you may choose to continue on one of the many other part time beauty courses we offer.","You need to enjoy working with people, have 4 GCSE's grade E or above or NewCAD Level 1 in beauty or equivalent qualification, good communication skills and a good level of English. You will be invited to the college for an interview. This may include an ","The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time day for 6 hours per week. You will study at the East Ham Campus.",The course fee is £192 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £960 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remi,C5201815,06/07A,2D-NVQ-BEAUTGEN-2-Y1,Hairdressing and Beauty Therapy
Hairdressing,1,18-Apr-07,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 1,"If you are interested in working in the Hairdressing profession and want to learn the basic skills, then this is the course for you.","Reception, customer care, and team work
Health and Safety regulations and practice
Basic practical hairdressing ","The course will also help to develop your written and spoken English and you will attend English classes as an integral part of the course. You will be assessed through written, oral and practical assignments and a portfolio of your work that is presented","NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve a NewCAD Diploma you must complete 15 units; if you accomplish at least 6 units you will be awarded the NewCAD Certificate. With the full NewCAD Di",You should have NewCAD Entry Level 3 or GCSEs mainly grade F-G or equivalent. You will be invited to the college for an interview. This may include an assessment of your communication and numeracy skills if you have no formal qualification.,"The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1101170,06/07E,1S-NC-HAIR-1-5E-EH,Hairdressing and Beauty Therapy
Beauty Therapy,1,19-Feb-07,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 1,"If you want to pursue a career in the beauty industry and wish to study full-time,and require help improving your basic skills, then this is the course for you.",Ensure your own actions reduce risks to health and safety; Assist with salon reception duties; Prepare and maintain the beauty therapy work area; Assist with facial treatments; Assist with nail treatments on the hand; Numeracy; Communication and Informati,"You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto an NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of our many other part time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English.  You will be invited to college for an interview; this may include an assessment of your communication and numeric skills if you have no formal qualificatio","The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1101377,06/07D,1S-NC-BTH-1-4D,Hairdressing and Beauty Therapy
Beauty Therapy,1,11-Sep-06,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 1,"If you want to pursue a career in the beauty industry and wish to study full-time,and require help improving your basic skills, then this is the course for you.",Ensure your own actions reduce risks to health and safety; Assist with salon reception duties; Prepare and maintain the beauty therapy work area; Assist with facial treatments; Assist with nail treatments on the hand; Numeracy; Communication and Informati,"You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto an NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of our many other part time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English.  You will be invited to college for an interview; this may include an assessment of your communication and numeric skills if you have no formal qualificatio","The course starts on Monday 11 September 2006, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1101375,06/07A,1S-NC-BTH-1-1A,Hairdressing and Beauty Therapy
Hairdressing,2,03-Jan-07,6 weeks,16.5,Full Time Short,East Ham Campus,0,Level 2,"If you wish to study full-time and require help improving your basic skills, and you have an interest in the beauty industry then this is the course for you.","Health and safety; Providing a make-up treatment; Providing a manicure treatment; Providing a pedicure treatment; Providing a facial treatment; Providing a lash and brow treatment; Customer care and Reception.
You will also study basic skills in communic","You will be assessed by continuous assessment of practical, written and oral work and by producing a portfolio of evidence. All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commerci","To progress onto a NVQ Level 2 Beauty Therapy or Hairdressing courses, or work as a junior in a salon. Or you may choose to continue on one of the many other part-time beauty courses we offer.","You need to enjoy working with people, have good communication skills and a good level of English. You will be invited to College for an interview. This may include an assessment of your communication and numeracy skills if you have no formal qualificatio","The course starts on Wednesday 3 January 2007, and takes 6 weeks to complete studying full time for 16.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1203113,06/07C,1S-NC-HAIR-2-3C,Hairdressing and Beauty Therapy
NVQ Hairdressing Fast Track,1,11-Sep-06,18 weeks,15,Full Time Short,The Salon,384,Level 1,If you want to pursue a career in hairdressing through employement then this is the course for you.,"Ensure your own actions reduce the risks for health and safety, Assist with salon reception duties, Contribute to the development of effective working relationships, Shampoo and condition hair, Prepare for hairdressing services and maintain work area, Ass","This course develops your skills in preparation for work in a salon where you will be emlpoyed as a junior/trainee on a modern apprenticeship scheme. You will also have access to the computing resources in the College, including the latest multi-media fac",This course is designed for those individuals seeking employement as an apprentice hairdresser. You will progress into employment onto an NVQ Level 2 Apprenticeship Scheme in hairdressing . ,"You are required to be under the age of 23. You need to enjoy working with people, you have 4 GCSE's grade E or above, good communication skills and a good level of English. You will be invited to College for an interview. This may include an assessment o","The course starts on Monday 11 September 2006, and takes 18 weeks to complete studying full time for 15 hours per week on various days. You will study at The Salon.",The course fee is £384. If you are not eligible for the home student fee you will be charged the overseas fee of £1920. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You will be expected to purchase a uniform and ki,C5100074,06/07A,1S-NVQ-HAIR-1-FAST,Hairdressing and Beauty Therapy
NVQ2 Hairdressing,2,11-Sep-06,2 years,6,Part Time Evening,East Ham Campus,274,Level 2,"If you want to pursue a career in Hairdressing and wish to study part time, then this is the course for you.","This course develops your skills in preparation for work in a salon as a junior stylist or as a freelance hairdresser. 
Reception, customer care and team work; Health & Safety regulations and practice; Blow drying, setting and styling for lengths of hair","You will learn in a modern salon environment at the College. You will be assessed by continuous assessments of practical, written and oral work by producing a portfolio of evidence. All practical assessment will be carried out on paying clients who may be",To progress onto NVQ Level 3 in Hairdressing or work as professional Hairdresser in the Industry. Or you may choose to access one of our many Beauty Therapy courses.,"Good communication skills and a good level of English. You will need to enjoy working with people. You will be invited to the college for an interview; this may include an assessment of your communication skills if you have no formal qualifcations.

The","The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time evening for 6 hours per week. You will study at the East Ham Campus.",The course fee is £274 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £1370 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee rem,C5201908,06/07A,2E-NVQ-HAIR-2-Y2,Hairdressing and Beauty Therapy
NVQ2 Hairdressing,2,11-Sep-06,2 years,8,Part Time Day,East Ham Campus,192,Level 2,"If you want to pursue a career in Hairdressing and wish to study part time, then this is the course for you.","Reception, customer care and team work; Health & Safety regulations and practice; Blow drying, setting and styling for lengths of hair; Basic hair cutting techniques; Basic colouring techniques; Techniques in perming and relaxing hair; Effective communica","You will learn in a modern salon environment at the College. You will be assessed by continuous assessments of practical, written and oral work by producing a portfolio of evidence. All practical assessment will be carried out on paying clients who may be","To progress onto NVQ Level 3 in Hairdressing or work as professional Hairdresser in the Industry. Or you may choose to access one of our many Beauty Therapy courses.
",Good communication skills and a good level of English. You will need to enjoy working with people. You will be invited to the college for an interview; this may include an assessment of your communication skills if you have no fomal qualifcations.,"The course starts on Monday 11 September 2006, and takes 2 years to complete studying part time day for 8 hours per week. You will study at the East Ham Campus.",The course fee is £192 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £960 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remi,C5201817,06/07A,2D-NVQ-HDRESS-2-Y1,Hairdressing and Beauty Therapy
NVQ3 Beauty Therapy,3,11-Sep-06,36 weeks,16,Full Time,East Ham Campus,967,Level 3,"If you want to pursue a career in the beauty industry and wish to study full time, then this is the course for you.","Health and Safety regulations and practice; Promoting products and services to clients; Contribute to the financial effectivness of the business; Epilate the hair folicale using diathermy, galvanic and blend techniques; Provide head and body massage treat","All practical assessments will be carried out on paying clients who may be family, friends or members of the public in our commercial treatment rooms and salons. You will have access to the College's library and study centre, the FLEX and Learning Waves, ","To start up your own business, or work as a professional therapist in a beauty salon or leisure centre. Or you may choose to continue on one of the many part time beauty courses we offer.","You need to enjoy working with people, have an NVQ Level 2 Certificate in Beauty Therapy or an equivalent qualifcation, good communication skills and a good level of English. You will be invited to the College for an interview. This may include an assessm","The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying full time for 16 hours per week. You will study at the East Ham Campus.",The course fee is £967. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C5300949,06/07A,1F-NVQ-BEAUTGEN-3,Hairdressing and Beauty Therapy
